etf,date,level,score,fwd_21d
GLD,2026-04-13,POTENCIAL,0.5028,0.037521
GLD,2026-05-01,POTENCIAL,0.5071,0.025367
GLD,2026-05-04,POTENCIAL,0.5184,0.054196
GLD,2026-05-20,POTENCIAL,0.5288,-0.085761
IVV,2026-04-10,POTENCIAL,0.5267,0.014478
IVV,2026-04-13,COMPRA,0.6231,-0.005027
IVV,2026-04-14,POTENCIAL,0.6219,-0.007658
IVV,2026-04-15,POTENCIAL,0.5578,-0.014035
IVV,2026-04-16,POTENCIAL,0.5319,-0.023933
IVV,2026-04-21,POTENCIAL,0.524,-0.003169
IVV,2026-04-22,COMPRA,0.5689,0.012345
IVV,2026-04-23,POTENCIAL,0.5629,-0.001689
IVV,2026-04-24,POTENCIAL,0.538,0.04294
IVV,2026-04-27,COMPRA,0.5615,0.072691
IVV,2026-04-28,COMPRA,0.5745,0.069363
IVV,2026-04-29,POTENCIAL,0.5311,0.081149
IVV,2026-04-30,POTENCIAL,0.5029,0.09547
IVV,2026-05-01,COMPRA,0.5633,0.105159
IVV,2026-05-04,POTENCIAL,0.5575,0.106569
IVV,2026-05-05,COMPRA,0.5829,0.117554
IVV,2026-05-07,COMPRA,0.5429,0.099575
IVV,2026-05-08,COMPRA,0.5557,0.074794
IVV,2026-05-11,COMPRA,0.5779,0.062805
IVV,2026-05-13,COMPRA,0.5506,0.072046
IVV,2026-05-14,COMPRA,0.5428,0.087036
IVV,2026-05-15,COMPRA,0.6474,0.097878
IVV,2026-05-18,COMPRA,0.5648,0.09889
IVV,2026-05-19,COMPRA,0.6442,0.07921
IVV,2026-05-20,POTENCIAL,0.526,0.042425
IVV,2026-05-21,POTENCIAL,0.5284,0.040937
QQQ,2026-04-10,COMPRA,0.7806,-0.007847
QQQ,2026-04-13,COMPRA,0.6377,0.003727
QQQ,2026-04-14,COMPRA,0.6678,-0.001922
QQQ,2026-04-15,POTENCIAL,0.5862,0.002677
QQQ,2026-04-17,COMPRA,0.78,0.052335
QQQ,2026-04-20,POTENCIAL,0.7213,0.021737
QQQ,2026-04-21,POTENCIAL,0.5957,0.026495
QQQ,2026-04-23,POTENCIAL,0.7051,-0.019404
QQQ,2026-04-24,COMPRA,0.7325,-0.020204
QQQ,2026-04-27,FORTE COMPRA,0.7267,-0.011526
QQQ,2026-04-28,COMPRA,0.6926,-0.057244
QQQ,2026-04-29,FORTE COMPRA,0.7426,-0.066674
QQQ,2026-04-30,COMPRA,0.7338,-0.079257
QQQ,2026-05-04,POTENCIAL,0.6533,-0.051367
QQQ,2026-05-05,POTENCIAL,0.7199,-0.035194
QQQ,2026-05-06,POTENCIAL,0.6732,-0.020122
QQQ,2026-05-07,COMPRA,0.6427,-0.026996
QQQ,2026-05-08,COMPRA,0.7303,-0.032796
QQQ,2026-05-11,COMPRA,0.6859,-0.02069
QQQ,2026-05-12,COMPRA,0.7168,-0.026744
QQQ,2026-05-13,COMPRA,0.7227,-0.01965
QQQ,2026-05-14,COMPRA,0.8037,-0.019488
QQQ,2026-05-15,POTENCIAL,0.6771,-0.041215
QQQ,2026-05-18,POTENCIAL,0.6479,-0.001303
QQQ,2026-05-19,POTENCIAL,0.7363,-0.008889
QQQ,2026-05-20,FORTE COMPRA,0.6455,-0.027743
QQQ,2026-05-21,FORTE COMPRA,0.676,0.010921
TLT,2026-04-10,COMPRA,0.6552,0.087003
TLT,2026-04-14,COMPRA,0.5806,0.092295
TLT,2026-04-15,COMPRA,0.662,0.09283
TLT,2026-04-16,COMPRA,0.6184,0.071499
TLT,2026-04-17,COMPRA,0.6619,0.084606
TLT,2026-04-20,COMPRA,0.6678,0.093738
TLT,2026-04-21,COMPRA,0.6472,0.085354
TLT,2026-04-22,POTENCIAL,0.6347,0.086744
TLT,2026-04-24,FORTE COMPRA,0.7334,0.074086
TLT,2026-04-27,COMPRA,0.6459,0.053876
TLT,2026-04-28,COMPRA,0.6187,0.064157
TLT,2026-04-29,POTENCIAL,0.7067,0.059521
TLT,2026-04-30,POTENCIAL,0.6731,0.071068
TLT,2026-05-01,POTENCIAL,0.5327,0.043158
TLT,2026-05-04,FORTE COMPRA,0.6243,0.040078
TLT,2026-05-05,POTENCIAL,0.6221,0.060755
TLT,2026-05-06,COMPRA,0.6371,0.039256
TLT,2026-05-08,POTENCIAL,0.6478,-0.000617
TLT,2026-05-11,POTENCIAL,0.6038,-0.009952
TLT,2026-05-12,COMPRA,0.6328,-0.029141
TLT,2026-05-13,POTENCIAL,0.6518,-0.023045
TLT,2026-05-14,COMPRA,0.6759,-0.014971
TLT,2026-05-15,POTENCIAL,0.6825,-0.023889
TLT,2026-05-18,COMPRA,0.5739,-0.051062
TLT,2026-05-19,COMPRA,0.7212,-0.029217
TLT,2026-05-21,COMPRA,0.6204,-0.016105
