Datetime,close,volume
2025-05-01 00:00:00,99.66,50000
2025-05-01 01:00:00,99.63,50000
2025-05-01 02:00:00,99.34,50000
2025-05-01 03:00:00,99.2,50000
2025-05-01 04:00:00,99.62,50000
2025-05-01 05:00:00,99.54,50000
2025-05-01 06:00:00,99.96,50000
2025-05-01 07:00:00,100.29,50000
2025-05-01 08:00:00,100.18,50000
2025-05-01 09:00:00,100.03,50000
2025-05-01 10:00:00,99.76,50000
2025-05-01 11:00:00,99.48,50000
2025-05-01 12:00:00,99.59,50000
2025-05-01 13:00:00,99.58,50000
2025-05-01 14:00:00,99.4,50000
2025-05-01 15:00:00,98.94,50000
2025-05-01 16:00:00,98.97,50000
2025-05-01 17:00:00,98.83,50000
2025-05-01 18:00:00,98.77,50000
2025-05-01 19:00:00,98.86,50000
2025-05-01 20:00:00,98.12,50000
2025-05-01 21:00:00,97.67,50000
2025-05-01 22:00:00,98.34,50000
2025-05-01 23:00:00,98.19,50000
2025-05-02 00:00:00,97.45,50000
2025-05-02 01:00:00,97.03,50000
2025-05-02 02:00:00,97.75,50000
2025-05-02 03:00:00,97.54,50000
2025-05-02 04:00:00,97.88,50000
2025-05-02 05:00:00,97.92,50000
2025-05-02 06:00:00,97.77,50000
2025-05-02 07:00:00,98.0,50000
2025-05-02 08:00:00,97.3,50000
2025-05-02 09:00:00,96.88,50000
2025-05-02 10:00:00,96.74,50000
2025-05-02 11:00:00,96.35,50000
2025-05-02 12:00:00,96.18,50000
2025-05-02 13:00:00,96.43,50000
2025-05-02 14:00:00,96.46,50000
2025-05-02 15:00:00,96.85,50000
2025-05-02 16:00:00,96.91,50000
2025-05-02 17:00:00,97.19,50000
2025-05-02 18:00:00,97.18,50000
2025-05-02 19:00:00,97.0,50000
2025-05-02 20:00:00,97.43,50000
2025-05-02 21:00:00,97.23,50000
2025-05-02 22:00:00,97.33,50000
2025-05-02 23:00:00,97.55,50000
2025-05-03 00:00:00,97.8,50000
2025-05-03 01:00:00,97.46,50000
2025-05-03 02:00:00,97.76,50000
2025-05-03 03:00:00,97.48,50000
2025-05-03 04:00:00,97.71,50000
2025-05-03 05:00:00,97.87,50000
2025-05-03 06:00:00,98.11,50000
2025-05-03 07:00:00,97.76,50000
2025-05-03 08:00:00,97.93,50000
2025-05-03 09:00:00,98.25,50000
2025-05-03 10:00:00,98.31,50000
2025-05-03 11:00:00,98.06,50000
2025-05-03 12:00:00,98.33,50000
2025-05-03 13:00:00,98.37,50000
2025-05-03 14:00:00,97.87,50000
2025-05-03 15:00:00,97.61,50000
2025-05-03 16:00:00,97.46,50000
2025-05-03 17:00:00,97.9,50000
2025-05-03 18:00:00,98.29,50000
2025-05-03 19:00:00,98.68,50000
2025-05-03 20:00:00,98.75,50000
2025-05-03 21:00:00,99.02,50000
2025-05-03 22:00:00,98.68,50000
2025-05-03 23:00:00,98.68,50000
2025-05-04 00:00:00,98.81,50000
2025-05-04 01:00:00,98.5,50000
2025-05-04 02:00:00,98.56,50000
2025-05-04 03:00:00,99.06,50000
2025-05-04 04:00:00,99.22,50000
2025-05-04 05:00:00,99.5,50000
2025-05-04 06:00:00,98.76,50000
2025-05-04 07:00:00,99.23,50000
2025-05-04 08:00:00,99.17,50000
2025-05-04 09:00:00,98.94,50000
2025-05-04 10:00:00,98.89,50000
2025-05-04 11:00:00,98.45,50000
2025-05-04 12:00:00,98.76,50000
2025-05-04 13:00:00,98.66,50000
2025-05-04 14:00:00,98.44,50000
2025-05-04 15:00:00,98.39,50000
